                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.76404,                0.63306,                 1.0118,                0.88257,                0.92582,                0.94292,                0.69484,                 1.0865,                0.81648,                 1.1111,             0.00061887,             0.00061887,             0.00061887
                     54,                0.75714,                0.62363,                 1.0012,                 0.9232,                0.87222,                0.94286,                0.70175,                 1.0769,                0.77738,                 1.0957,              0.0006065,              0.0006065,              0.0006065
                     55,                 0.7674,                0.63225,                  1.017,                0.89725,                0.90861,                0.95843,                0.69927,                 1.0565,                0.75678,                 1.0541,             0.00059413,             0.00059413,             0.00059413
                     56,                0.78481,                0.64443,                0.99817,                0.89457,                0.92494,                 0.9453,                 0.7257,                 1.0449,                0.73367,                 1.0461,             0.00058175,             0.00058175,             0.00058175
                     57,                0.74588,                0.61785,                0.99324,                0.86064,                0.91063,                0.91415,                 0.6785,                 1.1303,                0.78098,                 1.1121,             0.00056938,             0.00056938,             0.00056938
                     58,                0.73918,                0.61775,                0.99926,                0.91906,                 0.9419,                0.95343,                0.70066,                 1.0811,                0.73198,                 1.0671,               0.000557,               0.000557,               0.000557
                     59,                0.74204,                0.60403,                0.99892,                0.89967,                0.93014,                 0.9526,                0.72103,                 1.0535,                0.76577,                 1.0493,             0.00054463,             0.00054463,             0.00054463
                     60,                0.75724,                0.63496,                 0.9897,                  0.859,                0.91582,                0.93557,                0.69595,                 1.1048,                0.77226,                 1.0831,             0.00053225,             0.00053225,             0.00053225
                     61,                0.73883,                0.60491,                0.99141,                0.94491,                0.92121,                0.96247,                0.73065,                 1.0372,                0.74942,                 1.0546,             0.00051988,             0.00051988,             0.00051988
                     62,                0.70362,                0.58772,                0.97808,                0.86678,                0.89924,                0.94108,                 0.6877,                 1.0839,                0.80796,                  1.093,              0.0005075,              0.0005075,              0.0005075
                     63,                0.70999,                0.56979,                0.97035,                0.83895,                0.91387,                0.93722,                0.69248,                 1.0924,                0.83264,                  1.096,             0.00049513,             0.00049513,             0.00049513
                     64,                0.72925,                 0.6076,                0.98717,                0.93451,                0.92249,                0.96469,                0.70729,                  1.065,                0.71131,                 1.0543,             0.00048275,             0.00048275,             0.00048275
